track_id,track_name,artist,genre,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms
t1,Track 1,Artist G5,r&b,65.0,0.639,0.595,-11.28,0.05,0.14,0.0,0.438,119.68,290412
t2,Track 2,Artist H4,hip-hop,52.0,0.776,0.52,-11.55,0.219,0.305,0.003,0.308,64.77,132627
t3,Track 3,Artist O13,pop,61.0,0.652,0.724,-7.07,0.051,0.0,0.0,0.503,121.17,118191
t4,Track 4,Artist C3,hip-hop,49.0,0.913,0.655,-7.99,0.335,0.075,0.322,0.53,119.79,136496
t5,Track 5,Artist W8,jazz,50.0,0.454,0.418,-14.88,0.069,1.0,0.187,0.637,120.09,244601
t6,Track 6,Artist B15,country,35.0,0.61,0.499,-13.4,0.134,0.267,0.279,0.603,101.78,198228
t7,Track 7,Artist O11,metal,76.0,0.151,1.0,0.0,0.058,0.0,0.0,0.382,137.3,190367
t8,Track 8,Artist H14,country,66.0,0.562,0.653,-8.27,0.119,0.314,0.045,0.379,105.58,279967
t9,Track 9,Artist R6,country,61.0,0.579,0.758,-5.67,0.062,0.455,0.0,0.348,70.73,87880
t10,Track 10,Artist L13,hip-hop,71.0,0.811,0.566,-10.22,0.268,0.269,0.034,0.518,137.67,241194
t11,Track 11,Artist Z13,lo-fi,54.0,0.491,0.389,-12.82,0.0,0.725,0.374,0.485,101.45,202883
t12,Track 12,Artist P5,rock,53.0,0.634,0.518,-10.41,0.167,0.0,0.037,0.64,74.97,284948
t13,Track 13,Artist M11,indie,71.0,0.715,0.434,-13.78,0.155,0.252,0.019,0.491,100.47,133336
t14,Track 14,Artist W3,lo-fi,33.0,0.536,0.301,-15.18,0.179,0.551,0.466,0.382,79.4,161589
t15,Track 15,Artist H11,pop,63.0,0.891,0.586,-10.72,0.079,0.0,0.064,0.562,68.69,254095
t16,Track 16,Artist Y0,edm,73.0,0.534,0.829,-6.1,0.054,0.0,0.0,0.79,126.17,207972
t17,Track 17,Artist A7,pop,68.0,0.683,0.677,-7.04,0.137,0.412,0.243,0.722,102.22,127081
t18,Track 18,Artist U4,k-pop,92.0,0.858,0.925,-5.85,0.132,0.068,0.426,0.923,142.13,239635
t19,Track 19,Artist O11,pop,67.0,0.803,0.447,-10.28,0.096,0.017,0.059,0.598,71.97,83401
t20,Track 20,Artist P13,rock,41.0,0.495,0.553,-9.04,0.021,0.0,0.0,0.204,116.28,234391
t21,Track 21,Artist H15,indie,34.0,0.433,0.609,-4.98,0.075,0.414,0.047,0.561,79.0,263274
t22,Track 22,Artist C10,pop,65.0,0.692,0.688,-7.67,0.0,0.148,0.0,0.808,56.39,168475
t23,Track 23,Artist G11,pop,75.0,0.504,0.707,-6.96,0.082,0.031,0.211,0.804,119.34,206792
t24,Track 24,Artist D4,hip-hop,61.0,0.677,0.737,-7.02,0.433,0.377,0.342,0.321,117.79,130521
t25,Track 25,Artist P8,lo-fi,45.0,0.228,0.407,-12.51,0.069,0.595,0.838,0.439,87.85,193839
t26,Track 26,Artist Y1,rock,52.0,0.462,0.697,-5.53,0.087,0.0,0.093,0.782,143.67,250133
t27,Track 27,Artist I0,reggaeton,69.0,1.0,0.788,-6.97,0.11,0.22,0.064,0.689,100.22,306162
t28,Track 28,Artist C11,hip-hop,59.0,0.721,0.791,-5.54,0.279,0.139,0.227,0.51,73.4,195876
t29,Track 29,Artist G2,pop,66.0,0.909,0.494,-10.73,0.108,0.144,0.453,0.492,117.94,150383
t30,Track 30,Artist B1,classical,65.0,0.113,0.268,-16.99,0.096,0.681,0.711,0.58,148.28,301461
t31,Track 31,Artist A4,edm,59.0,0.497,0.761,-4.38,0.05,0.088,0.108,0.816,91.62,158677
t32,Track 32,Artist C8,hip-hop,76.0,0.774,0.615,-7.92,0.333,0.217,0.0,0.535,170.38,245518
t33,Track 33,Artist X7,k-pop,69.0,0.848,0.589,-12.82,0.118,0.277,0.502,0.623,107.6,169275
t34,Track 34,Artist Q3,edm,74.0,0.673,0.842,-7.15,0.145,0.0,0.0,0.571,149.14,273759
t35,Track 35,Artist T6,reggaeton,59.0,0.769,0.722,-5.42,0.14,0.0,0.0,0.44,112.65,222985
t36,Track 36,Artist J12,hip-hop,79.0,0.934,0.603,-11.0,0.216,0.218,0.32,0.332,140.55,237829
t37,Track 37,Artist I14,rock,51.0,0.476,0.722,-7.35,0.09,0.0,0.0,0.957,162.45,171162
t38,Track 38,Artist G11,pop,61.0,0.731,0.861,-5.42,0.03,0.012,0.0,0.51,116.61,177831
t39,Track 39,Artist Q5,rock,46.0,0.652,0.773,-7.39,0.049,0.0,0.35,0.501,90.64,261206
t40,Track 40,Artist L10,r&b,43.0,0.768,0.437,-12.23,0.083,0.272,0.242,0.629,87.6,203875
t41,Track 41,Artist W3,hip-hop,54.0,0.878,0.402,-12.89,0.265,0.0,0.0,0.225,148.96,118533
t42,Track 42,Artist Z8,edm,71.0,0.787,0.742,-8.59,0.192,0.0,0.0,0.628,84.06,99873
t43,Track 43,Artist L2,hip-hop,56.0,0.787,0.684,-10.8,0.375,0.523,0.214,0.363,89.67,129917
t44,Track 44,Artist H7,reggaeton,86.0,0.397,0.989,-0.12,0.0,0.215,0.0,0.506,87.82,192875
t45,Track 45,Artist N2,edm,63.0,0.569,0.79,-5.85,0.013,0.0,0.037,0.479,115.65,204372
t46,Track 46,Artist D3,k-pop,72.0,0.605,0.779,-7.45,0.116,0.138,0.029,0.541,116.36,147401
t47,Track 47,Artist B1,reggaeton,59.0,0.678,0.671,-7.46,0.084,0.077,0.0,0.601,117.88,128261
t48,Track 48,Artist E2,edm,50.0,0.723,0.864,-5.2,0.047,0.052,0.068,0.474,90.66,193817
t49,Track 49,Artist G3,pop,62.0,0.659,0.721,-10.34,0.097,0.121,0.127,0.699,130.89,224582
t50,Track 50,Artist T13,metal,56.0,0.481,0.985,0.0,0.0,0.0,0.239,0.497,146.27,224032
t51,Track 51,Artist B4,lo-fi,41.0,0.396,0.407,-10.14,0.185,0.317,0.919,0.336,107.62,226259
t52,Track 52,Artist H0,folk,66.0,0.564,0.276,-13.05,0.124,0.771,0.167,0.5,96.37,206635
t53,Track 53,Artist T0,k-pop,63.0,0.774,0.754,-5.27,0.0,0.0,0.0,0.355,116.46,228504
t54,Track 54,Artist O10,rock,68.0,0.655,0.73,-6.89,0.073,0.219,0.159,0.392,139.19,44374
t55,Track 55,Artist K14,indie,58.0,0.597,0.75,-7.57,0.197,0.404,0.018,0.642,116.87,264374
t56,Track 56,Artist U9,folk,62.0,0.72,0.375,-13.64,0.0,0.526,0.0,0.447,140.02,272715
t57,Track 57,Artist Z6,edm,55.0,0.856,0.622,-9.76,0.146,0.169,0.0,0.639,146.81,195602
t58,Track 58,Artist H3,folk,83.0,0.539,0.481,-12.04,0.054,0.534,0.292,0.493,143.64,172046
t59,Track 59,Artist A15,indie,37.0,0.583,0.589,-11.34,0.03,0.626,0.0,0.478,121.27,237091
t60,Track 60,Artist X4,pop,69.0,0.712,0.679,-6.78,0.019,0.311,0.276,0.54,93.08,188297
t61,Track 61,Artist Z12,country,66.0,0.547,0.547,-12.23,0.137,0.476,0.028,0.293,107.41,361938
t62,Track 62,Artist H11,edm,40.0,0.882,0.795,-6.71,0.114,0.169,0.187,0.671,171.88,312575
t63,Track 63,Artist A9,indie,52.0,0.615,0.551,-13.47,0.06,0.473,0.0,0.439,128.3,165516
t64,Track 64,Artist M11,edm,42.0,0.867,0.888,-7.62,0.05,0.436,0.066,0.554,92.97,137585
t65,Track 65,Artist M3,rock,82.0,0.565,0.553,-10.18,0.0,0.13,0.044,0.444,102.89,173251
t66,Track 66,Artist M5,country,41.0,0.479,0.706,-7.43,0.054,0.61,0.033,0.57,109.85,215517
t67,Track 67,Artist H5,hip-hop,76.0,0.77,1.0,-0.58,0.385,0.137,0.104,0.646,86.81,197570
t68,Track 68,Artist Z14,metal,32.0,0.372,0.932,-4.56,0.116,0.318,0.329,0.049,103.18,249812
t69,Track 69,Artist C1,country,58.0,0.48,0.556,-14.15,0.041,0.447,0.124,0.414,107.63,120133
t70,Track 70,Artist G15,hip-hop,71.0,0.667,0.43,-11.39,0.372,0.015,0.028,0.331,99.93,91357
